Ano,Mulheres,TempoM,Idade-M,Pais-M,Homens,TempoH,Idade-H,Pais-H
1991,Maria Luisa Servin,54:02:00,29,Mexico,Arturo Barrios,44:47:00,29,Mexicano
1992,Maria Del Carmen Diaz,54:00:00,32,Mexico,Simon Chemwoiywo,44:08:00,24,Quenia
1993,Hellen Kimaiyo,50:26:00,25,Quenia,Simon Chemwoiywo,43:20:00,25,Quenia
1994,Derartu Tulu,51:17:00,22,Etiopia,Ronaldo da Costa,44:11:00,24,Brasil
1995,Carmem Oliveira,50:53:00,30,Brasil,Paul Tergat,43:12:00,26,Quenia
1996,Roseli Machado,52:32:00,28,Brasil,Paul Tergat,43:50:00,27,Quenia
1997,Martha Tenorio,52:04:00,31,Equador,Emerson Iser Bem,44:40:00,24,Brasil
1998,Olivera Jevtic,51:35:00,21,Iugoslavia,Paul Tergat,44:47:00,29,Quenia
1999,Lydia Cheromei,51:29:00,22,Quenia,Paul Tergat,44:35:00,30,Quenia
2000,Lydia Cheromei,50:33:00,23,Quenia,Paul Tergat,43:57:00,31,Quenia
2001,Maria Zeferina Baldaia,52:12:00,29,Brasil,Tesfaye Jifar,44:15:00,25,Etiopia
2002,Marizete de Paula Rezende,54:02:00,28,Brasil,Robert Kipkoech Cheruiyot,44:59:00,24,Quenia
2003,Margaret Okayo,51:24:00,27,Quenia,Marilson Gomes dos Santos,43:50:00,26,Brasil
2004,Lydia Cheromei,53:01:00,27,Quenia,Robert Kipkoech Cheruiyot,44:43:00,26,Quenia
2005,Olivera Jevtic,51:38:00,28,Servia e Montenegro,Marilson Gomes dos Santos,44:22:00,28,Brasil
2006,Lucï¿½lia Peres,51:24:00,25,Brasil,Franck Caldeira,44:06:00,23,Brasil
2007,Alice Timbilili,51:24:00,24,Quenia,Robert Kipkoech Cheruiyot,44:43:00,29,Quenia
2008,Yimer Wude Ayalew,51:37:00,21,Etiopia,James Kipsang,44:43:00,25,Quenia
2009,Pasalia Chepkorir,52:30:00,21,Quenia,James Kipsang,44:40:00,26,Quenia
2010,Alice Timbilili,50:19:00,27,Quenia,Marilson Gomes dos Santos,44:03:00,33,Brasil
2011,Priscah Jeptoo,48:48:00,27,Quenia,Tariku Bekele,43:35:00,24,Etiopia
2012,Maurine Kipchumba,51:41:00,24,Quenia,Edwin Kipsang,44:04:00,25,Quenia
2013,Nancy Kipron,51:58:00,34,Quenia,Edwin Kipsang,43:48:00,26,Quenia
2014,Yimer Wude Ayalew,50:43:00,27,Etiopia,Dawit Admasu,45:04:00,19,Etiopia
2015,Yimer Wude Ayalew,54:01:00,28,Etiopia,Stanley Biwott,44:31:00,29,Quenia
2016,Jemima Sumgong,48:01:00,32,Quenia,Leul Aleme,44:53:00,24,Etiopia
2017,Flomena Cheyech Daniel,50:18:00,35,Quenia,Dawit Admasu,44:17:00,22,Etiopia
2018,Sandrafelis Tuei,50:20:00,30,Quenia,Belahy Bezabh,45:03:00,23,Etiopia
